Year      Month  Day    Hour  PWV
2010      2     12     18     6.450
2010      2     12     21     6.645
2010      2     13      0     NaN
2010      2     13      3     NaN
2010      2     13      6     5.714
2010      2     13      9     5.403
2010      2     13     12     5.164
2010      2     13     15     6.704
2010      2     13     18     9.797
2010      2     13     21     9.365
2010      2     14      0     NaN
2010      2     14      3     NaN
2010      2     14      6     NaN
2010      2     14      9     4.475
2010      2     14     12     3.801
2010      2     14     15     7.809
2010      2     14     18     4.703
2010      2     14     21     3.344
2010      2     15      0     3.261
2010      2     15      3     2.282
2010      2     15      6     1.628
2010      2     15      9     1.317
2010      2     15     12     1.116
2010      2     15     15     1.397
2010      2     15     18     1.430
2010      2     15     21     3.464
2010      2     16      0     4.584
2010      2     16      3     2.365
2010      2     16      6     1.244
2010      2     16      9     0.730
2010      2     16     12     0.490
2010      2     16     15     1.013
2010      2     16     18     2.328
2010      2     16     21     NaN
2010      2     17      0     NaN
2010      2     17      3     0.753
2010      2     17      6     0.426
2010      2     17      9     NaN
2010      2     17     12     1.090
2010      2     17     15     1.733
2010      2     17     18     2.481
2010      2     17     21     3.412
2010      2     18      0     2.759
2010      2     18      3     1.832
2010      2     18      6     1.336
2010      2     18      9     0.957
2010      2     18     12     1.083
2010      2     18     15     1.610
2010      2     18     18     2.652
2010      2     18     21     3.613
2010      2     19      0     5.195
2010      2     19      3     4.706
2010      2     19      6     5.138
2010      2     19      9     6.021
2010      2     19     12     7.337
2010      2     19     15     NaN
2010      2     19     18     NaN
2010      2     19     21     NaN
2010      2     20      0     NaN
2010      2     20      3     8.839
2010      2     20      6     9.044
2010      2     20      9     NaN
2010      2     20     12     NaN
2010      2     20     15     9.331
2010      2     20     18     11.171
2010      2     20     21     9.620
2010      2     21      0     7.853
2010      2     21      3     NaN
2010      2     21      6     5.282
2010      2     21      9     4.303
2010      2     21     12     5.010
2010      2     21     15     6.710
2010      2     21     18     6.787
2010      2     21     21     5.318
2010      2     22      0     6.506
2010      2     22      3     6.865
2010      2     22      6     7.583
2010      2     22      9     8.166
2010      2     22     12     7.035
2010      2     22     15     9.428
2010      2     22     18     8.886
2010      2     22     21     7.261
2010      2     23      0     7.291
2010      2     23      3     7.562
2010      2     23      6     5.849
2010      2     23      9     5.883
2010      2     23     12     5.286
2010      2     23     15     7.281
2010      2     23     18     7.875
2010      2     23     21     7.833
2010      2     24      0     8.801
2010      2     24      3     NaN
2010      2     24      6     6.987
2010      2     24      9     6.878
2010      2     24     12     6.099
2010      2     24     15     6.576
2010      2     24     18     8.429
2010      2     24     21     8.082
2010      2     25      0     NaN
2010      2     25      3     NaN
2010      2     25      6     NaN
2010      2     25      9     NaN
2010      2     25     12     NaN
2010      2     25     15     6.576
2010      2     25     18     8.429
2010      2     25     21     8.082
2010      2     26      0     NaN
2010      2     26      3     NaN
2010      2     26      6     NaN
2010      2     26      9     NaN
2010      2     26     12     NaN
2010      2     26     15     NaN
2010      2     26     18     NaN
2010      2     26     21     NaN
2010      2     27      0     NaN
2010      2     27      3     NaN
2010      2     27      6     NaN
2010      2     27      9     NaN
2010      2     27     12     NaN
2010      2     27     15     NaN
2010      2     27     18     NaN
2010      2     27     21     NaN
2010      2     28      0     NaN
2010      2     28      3     NaN
2010      2     28      6     NaN
2010      2     28      9     NaN
2010      2     28     12     NaN
2010      2     28     15     NaN
2010      2     28     18     NaN
2010      2     28     21     NaN
2010      3      1      0     NaN
2010      3      1      3     NaN
2010      3      1      6     NaN
2010      3      1      9     NaN
2010      3      1     12     NaN
2010      3      1     15     NaN
2010      3      1     18     NaN
2010      3      1     21     NaN
2010      3      2      0     NaN
2010      3      2      3     NaN
2010      3      2      6     NaN
2010      3      2      9     NaN
2010      3      2     12     NaN
2010      3      2     15     NaN
2010      3      2     18     NaN
2010      3      2     21     NaN
2010      3      3      0     NaN
2010      3      3      3     NaN
2010      3      3      6     NaN
2010      3      3      9     NaN
2010      3      3     12     NaN
2010      3      3     15     NaN
2010      3      3     18     NaN
2010      3      3     21     NaN
